0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
28.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
29.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
30.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
31.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
31.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
31.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
31.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
31.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
